Course_ID,Course_Name,Full_Title,Description,Credits,Tier,Required_For,Track_Journalism_Pct,Track_Production_Pct,Track_Strategic_Pct
MC201,Mass Media in Society,MC 201 - Mass Media in Society,"Analysis of mass media focusing on technological, economic, governmental, and societal impact.",3,intro_core,all,34,33,33
MC202,Writing for the Media,MC 202 - Writing for the Media,"Introduction to media writing styles and techniques including writing news stories, audio & video scripts, social media, advertising and public relations content.",3,intro_core,all,40,20,40
MC204,Intro to Audio and Video Production,MC 204 - Introduction to Audio and Video Production,"Planning and realization of audio and video productions; studio techniques; audio and video non-linear editing.",3,intro_core,all,20,60,20
MC301,Advanced Audio Production,MC 301 - Advanced Audio Production,Professional audio production across digital media platforms.,3,intermediate_core,elective,10,80,10
MC323,Digital Publishing and Design,MC 323 - Digital Publishing and Design,Digital publication design and production of layouts.,3,intermediate_core,elective,40,30,30
MC327,Essentials of Web Design,MC 327 - Essentials of Web Design,An introduction to web design and development for media professionals.,3,intermediate_core,elective,30,40,30
MC331,Media Performance,MC 331 - Media Performance,"Extensive instruction and practice in media performance, including on-camera and voice work.",3,intermediate_core,elective,30,50,20
MC332,Advanced News Production,MC 332 - Advanced News Production,"Extensive practice in writing, producing, and presenting broadcast news.",3,intermediate_core,elective,60,30,10
MC333,Advanced Video Production,MC 333 - Advanced Video Production,Students produce professional-quality video segments.,3,intermediate_core,elective,10,80,10
MC334,Commercial Production,MC 334 - Commercial Production,"Processes and practices in copywriting and production for radio, television, and digital commercials.",3,intermediate_core,elective,10,40,50
MC342,Digital Imagery,MC 342 - Digital Imagery,"Capturing, editing, and presenting digital images for media applications.",3,intermediate_core,elective,30,40,30
MC401,Media Law and Policy,MC 401 - Media Law and Policy,U.S. Constitution and federal and state law related to mass media.,3,advanced_core,all,40,20,40
MC403,Cultural Studies in Media,MC 403 - Cultural Studies in Media,Use of critical theory to examine media's impact on society and culture.,3,advanced_core,all,34,33,33
MC451,Research Methods in Mass Media,MC 451 - Research Methods in Mass Media,Examination of traditional and emerging concepts of research in mass communications.,3,advanced_core,all,34,33,33
MC455,Media Ethics,MC 455 - Media Ethics,"Critical examination and analysis of values, principles, and ethical decision-making in mass media.",3,advanced_core,all,34,33,33
MC481,Internship/Senior Portfolio,MC 481 - Internship/Senior Portfolio,Experience with professional media under joint supervision. Includes senior portfolio requirement.,3,advanced_core,all,34,33,33
MC322,Copy Editing For News Media,MC 322 - Copy Editing For News Media,Students build professional news editing skills.,3,track_required,journalism,80,10,10
MC324,Advanced News Reporting,MC 324 - Advanced News Reporting,Reporting for print and digital media about local and state government.,3,track_required,journalism,90,5,5
MC325,Fundamentals of Advertising,MC 325 - Fundamentals of Advertising,Provides an overview of advertising from the perspectives of marketing and social roles.,3,track_required,strategic,10,10,80
MC389,Media Planning,MC 389 - Media Planning,"Basic principles of media planning, buying, and strategy for advertising campaigns.",3,track_required,strategic,10,10,80
MC422,Strategic Media Writing,MC 422 - Strategic Media Writing,"Analyzing and creating strategic communication materials for PR, marketing, and organizational contexts.",3,track_required,strategic,20,10,70
MC330,Advanced Media Writing,MC 330 - Advanced Media Writing,Advanced writing techniques for various media platforms.,3,track_required,production,20,60,20
MC321,Feature Writing,MC 321 - Feature Writing,Learn the essentials of writing and researching feature news pieces.,3,track_elective,journalism,80,10,10
MC330E,Advanced Media Writing,MC 330 - Advanced Media Writing,Advanced writing techniques for various media platforms.,3,track_elective,journalism,20,60,20
